World Rank,Institution name,Country,National Rank,Quality of Education Rank,Alumni Employment Rank,Quality of Faculty Rank,Research Performance Rank,Score
1,Harvard University,USA,1,1,1,1,1,100
2,Massachusetts Institute of Technology,USA,2,4,12,2,8,96.7
3,Stanford University,USA,3,10,4,3,2,95.1
4,University of Cambridge,United Kingdom,1,3,25,4,10,94.1
5,University of Oxford,United Kingdom,2,7,27,9,4,93.3
6,Princeton University,USA,4,5,15,7,70,92.6
7,Columbia University,USA,5,11,14,10,15,92
8,University of Chicago,USA,6,8,16,27,22,91.5
9,University of Pennsylvania,USA,7,14,10,42,12,91.1
10,Yale University,USA,8,6,36,13,20,90.7
11,California Institute of Technology,USA,9,2,111,8,75,90.4
12,University of California/ Berkeley,USA,10,9,60,5,13,90.1
13,University of Tokyo,Japan,2,39,6,107,27,89.8
14,Cornell University,USA,11,15,28,18,24,89.5
15,University of Michigan/ Ann Arbor,USA,12,29,38,79,5,89.2
16,Johns Hopkins University,USA,13,23,206,22,6,89
17,Northwestern University,USA,14,137,18,46,30,88.8
18,University of California/ Los Angeles,USA,15,44,63,16,14,88.6
19,University College London,United Kingdom,3,36,668,15,7,88.4
20,Duke University,USA,16,64,50,17,23,88.2
21,PSL University,France,1,18,30,104,126,88
22,University of Illinois at Urbana–Champaign,USA,17,24,132,11,62,87.8
23,University of Washington - Seattle,USA,18,67,199,23,9,87.6
24,University of Toronto,Canada,1,230,158,21,3,87.5
25,University of Wisconsin–Madison,USA,19,33,97,29,32,87.3
26,New York University,USA,20,47,45,38,48,87.2
27,McGill University,Canada,2,25,101,40,44,87
28,Kyoto University,Japan,1,42,32,63,64,86.9
29,ETH Zurich,Switzerland,1,58,96,20,39,86.8
30,Imperial College London,United Kingdom,4,69,109,52,17,86.6
31,Seoul National University,South Korea,1,315,21,135,58,86.5
32,Paris-Saclay University,France,2,173,138,43,11,86.4
33,University of Texas at Austin,USA,21,94,62,14,56,86.3
34,University of California/ San Diego,USA,22,120,-,12,19,86.1
35,Karolinska Institute,Sweden,1,37,-,34,60,86
36,Sorbonne University,France,3,85,292,92,16,85.9
37,University of Copenhagen,Denmark,1,90,376,44,26,85.8
38,University of California/ San Francisco,USA,23,-,-,19,25,85.7
39,University of North Carolina at Chapel Hill,USA,24,80,102,76,35,85.6
40,Dartmouth College,USA,25,53,17,95,273,85.5
41,Institut Polytechnique de Paris,France,4,100,8,219,316,85.4
42,University of Paris,France,5,233,932,56,18,85.3
43,King's College London,United Kingdom,5,57,420,31,55,85.2
44,Ludwig Maximilian University of Munich,Germany,1,60,255,53,51,85.1
45,University of Edinburgh,United Kingdom,6,55,421,60,50,85
46,University of Minnesota - Twin Cities,USA,26,74,313,119,28,85
47,Washington University in St. Louis,USA,27,128,190,36,47,84.9
48,University of British Columbia,Canada,3,103,616,84,31,84.8
49,Rockefeller University,USA,28,13,-,6,416,84.7
50,Rutgers University–New Brunswick,USA,29,189,115,24,87,84.6
51,University of Southern California,USA,30,314,131,26,71,84.5
52,University of California/ Davis,USA,31,97,567,65,46,84.5
53,Vanderbilt University,USA,32,374,85,61,67,84.4
54,Pennsylvania State University,USA,33,293,154,58,53,84.3
55,Free University of Berlin,Germany,2,79,1155,35,77,84.2
56,Ohio State University,USA,34,124,254,137,37,84.2
57,University of Manchester,United Kingdom,7,106,356,77,52,84.1
58,Tsinghua University,China,1,514,76,-,29,84
59,Peking University,China,2,363,72,-,33,84
60,Humboldt University of Berlin,Germany,3,82,-,49,72,83.9
61,Purdue University,USA,35,92,89,67,104,83.8
62,University of Texas Southwestern Medical Center,USA,36,35,-,28,158,83.8
63,University of Melbourne,Australia,1,133,387,130,36,83.7
64,Hebrew University of Jerusalem,Israel,1,27,397,33,183,83.6
65,University of Zurich,Switzerland,2,89,626,55,74,83.6
66,Brown University,USA,37,73,58,115,132,83.5
67,Weizmann Institute of Science,Israel,2,20,-,45,267,83.4
68,University of Colorado Boulder,USA,38,148,173,48,93,83.4
69,University of Virginia,USA,39,324,35,182,129,83.3
70,Heidelberg University,Germany,4,138,903,80,57,83.3
71,Utrecht University,Netherlands,1,172,431,160,40,83.2
72,University of Pittsburgh,USA,40,231,210,262,34,83.1
73,University of Chinese Academy of Sciences,China,3,-,1203,-,21,83.1
74,Texas A&M University/ College Station,USA,41,-,127,68,91,83
75,University of Maryland/ College Park,USA,42,113,477,133,61,83
76,Georgia Institute of Technology,USA,43,309,194,41,111,82.9
77,University of Oslo,Norway,1,98,701,75,92,82.9
78,Osaka University,Japan,3,141,67,120,125,82.8
79,University of Birmingham,United Kingdom,8,50,428,169,107,82.8
80,Technical University of Munich,Germany,5,76,371,136,84,82.7
81,University of Alberta,Canada,4,329,458,70,83,82.6
82,University of California/ Irvine,USA,44,-,1302,32,103,82.6
83,University of Rochester,USA,45,63,75,129,159,82.5
84,University of Amsterdam,Netherlands,2,239,817,192,42,82.5
85,Carnegie Mellon University,USA,46,56,145,37,204,82.4
86,University of Florida,USA,47,318,465,140,59,82.4
87,Leiden University,Netherlands,3,107,1110,73,99,82.3
88,Uppsala University,Sweden,2,140,464,69,101,82.3
89,National University of Singapore,Singapore,1,322,155,-,41,82.2
90,National Taiwan University,Taiwan,1,301,40,-,120,82.2
91,University of Bristol,United Kingdom,9,188,353,74,98,82.2
92,University of Göttingen,Germany,6,46,307,114,150,82.1
93,University of Arizona,USA,48,480,221,71,106,82.1
94,Boston University,USA,49,515,123,215,69,82
95,University of California/ Santa Barbara,USA,50,213,495,25,134,82
96,Erasmus University Rotterdam,Netherlands,4,-,73,266,81,81.9
97,Keio University,Japan,4,494,13,-,385,81.9
98,University of Sydney,Australia,2,199,649,-,38,81.8
99,University of Geneva,Switzerland,3,72,391,113,119,81.8
100,University of Basel,Switzerland,4,59,309,82,155,81.8